id,sugar_level,calories,weight,fat,food_color
102,78.57000000000001 gr,540 cal,1255.24 gr,14 gr,Navy Blue
103,81.17999999999999 gr,232 cal,621.34 gr,19 gr,Sunset Red
104,120.51 gr,288 cal,1473.99 gr,25 gr,Black
105,40.620000000000005 gr,332 cal,1970.47 gr,24 gr,Navy Blue
106,128.49 gr,621 cal,1321.93 gr,26 gr,Green
107,,194 cal,1153.26 gr,13 gr,Coffee
108,124.07999999999998 gr,327 cal,176.6 gr,10 gr,Purple
109,133.98 gr,495 cal,761.22 gr,24 gr,Navy Blue
110,90.34 gr,382 cal,656.1 gr,17 gr,Sunset Red
111,100.10000000000001 gr,345 cal,144.4 gr,27 gr,Lemon Yellow
112,120.32 gr,501 cal,1277.98 gr,36 gr,Rose
113,27.679999999999993 gr,9 cal,241.96 gr,40 gr,Lemon Yellow
114,96.23000000000002 gr,,1802.59 gr,38 gr,Sunset Yellow
115,84.1 gr,422 cal,1013.91 gr,43 gr,Green
116,75.69 gr,141 cal,925.38 gr,44 gr,Sunset Yellow
117,81.83 gr,77 cal,1263.15 gr,27 gr,Black
118,101.13 gr,247 cal,1693.67 gr,18 gr,Lemon Yellow
119,46.28999999999999 gr,469 cal,1644.86 gr,30 gr,Sunset Red
120,49.53 gr,374 cal,,20 gr,Green
121,63.410000000000004 gr,53 cal,697.16 gr,35 gr,Navy Blue
122,119.18 gr,617 cal,1525.62 gr,32 gr,Lemon Yellow
123,93.66 gr,355 cal,459.68 gr,20 gr,Grass Green
124,110.7 gr,243 cal,1775.86 gr,24 gr,
125,119.03 gr,546 cal,1557.75 gr,46 gr,Navy Blue
126,78.71 gr,469 cal,1099.39 gr,17 gr,Rose
127,76.96000000000001 gr,155 cal,1111.49 gr,17 gr,Navy Blue
128,48.18000000000001 gr,92 cal,512.41 gr,7 gr,Grass Green
129,96.30000000000001 gr,426 cal,900.7 gr,10 gr,Lemon Yellow
130,152.45999999999998 gr,371 cal,437.46 gr,35 gr,Sunset Red
131,74.88 gr,491 cal,954.41 gr,46 gr,Navy Blue
132,,761 cal,642.7 gr,37 gr,Purple
133,63.71 gr,174 cal,1076.55 gr,39 gr,Black
134,87.73999999999998 gr,347 cal,165.44 gr,28 gr,Coffee
135,126.83999999999999 gr,428 cal,85.9 gr,25 gr,Grass Green
136,101.44999999999999 gr,40 cal,564.37 gr,24 gr,Sunset Yellow
137,113.6 gr,790 cal,231.58 gr,31 gr,Sunset Red
138,44.38000000000001 gr,300 cal,985.57 gr,19 gr,Green
139,135.45 gr,480 cal,770.65 gr,33 gr,Sunset Red
140,130.12 gr,265 cal,280.15 gr,7 gr,Sunset Yellow
141,125.53 gr,139 cal,430.18 gr,29 gr,Rose
142,140.06 gr,11 cal,1491.03 gr,15 gr,Lemon Yellow
143,117.21 gr,133 cal,290.47 gr,14 gr,Coffee
144,27.239999999999995 gr,523 cal,249.95 gr,34 gr,Rose
145,99.68 gr,425 cal,1205.58 gr,34 gr,Purple
146,91.67999999999999 gr,314 cal,242.75 gr,31 gr,Green
147,128.57 gr,676 cal,397.0 gr,20 gr,Green
148,152.44 gr,597 cal,21.73 gr,46 gr,Rose
149,113.92999999999999 gr,533 cal,1952.35 gr,18 gr,Purple
150,180.61 gr,777 cal,1141.04 gr,20 gr,Grass Green
151,97.92 gr,502 cal,707.22 gr,33 gr,Sunset Red
152,100.24000000000001 gr,619 cal,812.68 gr,23 gr,Black
153,114.60999999999999 gr,409 cal,43.97 gr,35 gr,Sunset Red
154,77.91 gr,438 cal,982.89 gr,22 gr,Grass Green
155,116.52000000000001 gr,420 cal,1780.54 gr,44 gr,Green
156,56.400000000000006 gr,334 cal,1329.56 gr,33 gr,Green
157,48.10000000000001 gr,53 cal,734.58 gr,6 gr,Navy Blue
158,140.35000000000002 gr,537 cal,346.04 gr,44 gr,Green
159,143.57999999999998 gr,567 cal,427.13 gr,40 gr,
160,123.37 gr,482 cal,1112.83 gr,19 gr,Purple
161,77.99000000000001 gr,296 cal,1115.77 gr,32 gr,Green
162,32.92999999999999 gr,217 cal,199.76 gr,28 gr,Navy Blue
163,96.53 gr,283 cal,1268.0 gr,28 gr,Green
164,63.42 gr,278 cal,1997.76 gr,41 gr,Grass Green
165,55.040000000000006 gr,257 cal,914.68 gr,9 gr,Sunset Yellow
166,74.88 gr,522 cal,477.02 gr,19 gr,Lemon Yellow
167,113.65 gr,650 cal,1334.04 gr,35 gr,Grass Green
168,163.8 gr,486 cal,688.31 gr,21 gr,Grass Green
169,102.46000000000001 gr,71 cal,1275.52 gr,0 gr,Sunset Red
170,121.41000000000001 gr,68 cal,932.54 gr,16 gr,Coffee
171,91.94 gr,,1297.43 gr,29 gr,Lemon Yellow
172,119.6 gr,632 cal,1351.35 gr,27 gr,Rose
173,125.35000000000001 gr,526 cal,1881.57 gr,28 gr,Green
174,62.980000000000004 gr,439 cal,160.11 gr,31 gr,Grass Green
175,46.92 gr,331 cal,1784.16 gr,25 gr,Purple
176,121.46 gr,639 cal,1958.48 gr,19 gr,Rose
177,88.88 gr,246 cal,1782.36 gr,43 gr,Lemon Yellow
178,45.16 gr,459 cal,862.95 gr,5 gr,Grass Green
179,175.57999999999998 gr,408 cal,591.66 gr,36 gr,Navy Blue
180,125.08000000000001 gr,650 cal,1314.56 gr,34 gr,Grass Green
181,105.31 gr,513 cal,1932.6 gr,38 gr,Black
182,,463 cal,1687.15 gr,19 gr,Grass Green
183,157.76 gr,655 cal,76.8 gr,34 gr,Rose
184,119.16 gr,499 cal,28.17 gr,15 gr,Lemon Yellow
185,125.64 gr,287 cal,1609.65 gr,40 gr,Lemon Yellow
186,150.63 gr,616 cal,1426.58 gr,23 gr,Sunset Red
187,122.4 gr,644 cal,330.38 gr,38 gr,Navy Blue
188,73.28999999999999 gr,557 cal,1006.69 gr,28 gr,Purple
189,62.459999999999994 gr,266 cal,1965.99 gr,29 gr,Grass Green
190,47.05 gr,362 cal,615.9 gr,32 gr,Sunset Yellow
191,39.42999999999999 gr,198 cal,1693.2 gr,20 gr,Coffee
192,103.5 gr,61 cal,301.69 gr,37 gr,Coffee
193,139.7 gr,409 cal,1568.78 gr,28 gr,Green
194,139.92000000000002 gr,490 cal,1278.02 gr,31 gr,Grass Green
195,132.84 gr,531 cal,1439.11 gr,26 gr,Lemon Yellow
196,48.64999999999999 gr,511 cal,1707.26 gr,17 gr,Lemon Yellow
197,150.6 gr,654 cal,1032.6 gr,36 gr,Sunset Yellow
198,45.78 gr,53 cal,396.99 gr,14 gr,Sunset Yellow
199,95.78999999999999 gr,602 cal,1775.01 gr,21 gr,Purple
200,144.13 gr,537 cal,1170.71 gr,30 gr,Sunset Yellow
201,24.709999999999994 gr,441 cal,1640.9 gr,16 gr,Navy Blue
202,124.75999999999999 gr,187 cal,203.26 gr,9 gr,Lemon Yellow
203,172.84 gr,593 cal,145.14 gr,25 gr,Lemon Yellow
204,82.16000000000001 gr,731 cal,1655.23 gr,23 gr,Sunset Red
205,103.36000000000001 gr,672 cal,6.2 gr,29 gr,Purple
206,110.64 gr,460 cal,1246.81 gr,36 gr,Navy Blue
207,62.360000000000014 gr,58 cal,308.79 gr,17 gr,Green
208,105.71000000000001 gr,40 cal,1189.58 gr,25 gr,Coffee
209,115.65 gr,599 cal,290.71 gr,21 gr,Purple
210,118.97 gr,380 cal,127.96 gr,24 gr,Navy Blue
211,91.52000000000001 gr,142 cal,845.13 gr,12 gr,Lemon Yellow
212,95.75000000000001 gr,65 cal,1729.53 gr,28 gr,Lemon Yellow
213,45.650000000000006 gr,247 cal,859.95 gr,14 gr,Green
214,92.36999999999999 gr,566 cal,1613.1 gr,45 gr,Rose
215,109.30000000000001 gr,472 cal,1271.92 gr,25 gr,Sunset Yellow
216,52.86 gr,443 cal,726.71 gr,16 gr,Sunset Red
217,21.539999999999992 gr,52 cal,1620.2 gr,13 gr,Black
218,164.95 gr,415 cal,212.82 gr,30 gr,Sunset Red
219,130.25 gr,575 cal,935.7 gr,29 gr,Green
220,133.95999999999998 gr,640 cal,277.23 gr,14 gr,Coffee
221,79.43 gr,289 cal,833.3 gr,10 gr,Sunset Red
222,143.93 gr,576 cal,887.14 gr,27 gr,Sunset Red
223,105.0 gr,450 cal,537.51 gr,45 gr,Sunset Yellow
224,52.83 gr,209 cal,1538.25 gr,25 gr,Lemon Yellow
225,45.58 gr,109 cal,755.23 gr,9 gr,Purple
226,145.18 gr,352 cal,649.43 gr,35 gr,Sunset Red
227,137.86 gr,502 cal,1728.28 gr,35 gr,Grass Green
228,91.37 gr,466 cal,1983.18 gr,30 gr,Purple
229,62.74 gr,47 cal,1140.85 gr,15 gr,Grass Green
230,105.92 gr,349 cal,1269.01 gr,27 gr,Coffee
231,,349 cal,186.14 gr,28 gr,Grass Green
232,116.75 gr,129 cal,366.1 gr,20 gr,Purple
233,99.18 gr,90 cal,1518.07 gr,41 gr,Sunset Red
234,148.36 gr,481 cal,749.58 gr,44 gr,Sunset Red
235,66.36999999999999 gr,113 cal,1874.74 gr,13 gr,Grass Green
236,83.2 gr,163 cal,61.85 gr,12 gr,Coffee
237,70.09 gr,405 cal,726.23 gr,30 gr,Grass Green
238,116.58000000000001 gr,463 cal,1334.66 gr,32 gr,Grass Green
239,118.10000000000001 gr,579 cal,506.06 gr,33 gr,Sunset Yellow
240,61.34000000000002 gr,374 cal,1736.29 gr,28 gr,Navy Blue
241,128.37 gr,695 cal,595.82 gr,34 gr,Rose
242,89.68 gr,244 cal,1450.43 gr,35 gr,Coffee
243,112.73 gr,605 cal,888.2 gr,19 gr,Purple
244,22.950000000000003 gr,397 cal,1153.31 gr,29 gr,Sunset Yellow
245,77.71 gr,181 cal,1445.85 gr,23 gr,Purple
246,39.01000000000002 gr,229 cal,886.15 gr,14 gr,Purple
247,88.34 gr,665 cal,227.49 gr,38 gr,Black
248,156.22 gr,540 cal,152.17 gr,29 gr,Sunset Yellow
249,71.17999999999999 gr,318 cal,1856.98 gr,17 gr,Sunset Yellow
250,102.88 gr,143 cal,83.45 gr,16 gr,Green
251,85.75999999999999 gr,351 cal,1730.66 gr,22 gr,Rose
252,83.26 gr,268 cal,1740.64 gr,24 gr,Coffee
253,,344 cal,149.14 gr,29 gr,Green
254,68.92 gr,119 cal,1750.38 gr,18 gr,Grass Green
255,93.25999999999999 gr,721 cal,1497.03 gr,35 gr,Purple
256,173.5 gr,545 cal,1880.92 gr,21 gr,Black
257,135.4 gr,633 cal,871.2 gr,33 gr,Navy Blue
258,123.74000000000001 gr,550 cal,57.12 gr,39 gr,Lemon Yellow
259,49.56999999999999 gr,208 cal,806.07 gr,15 gr,Purple
260,61.95 gr,435 cal,720.1 gr,31 gr,Grass Green
261,124.26 gr,238 cal,729.49 gr,24 gr,Purple
262,106.65 gr,422 cal,185.57 gr,35 gr,Sunset Yellow
263,33.34 gr,445 cal,1614.58 gr,18 gr,Black
264,82.07 gr,605 cal,1727.73 gr,32 gr,Green
265,110.36999999999999 gr,690 cal,1957.84 gr,,Rose
266,62.59 gr,506 cal,1329.6 gr,22 gr,Purple
267,51.36 gr,358 cal,1402.31 gr,30 gr,Green
268,70.99999999999999 gr,226 cal,404.05 gr,13 gr,Sunset Yellow
269,156.73 gr,801 cal,1248.21 gr,16 gr,Lemon Yellow
270,120.78 gr,355 cal,217.65 gr,24 gr,Grass Green
271,37.78999999999999 gr,193 cal,1443.01 gr,26 gr,Sunset Yellow
272,111.78 gr,203 cal,1808.48 gr,24 gr,Grass Green
273,156.53 gr,501 cal,1876.57 gr,,Grass Green
274,156.48 gr,764 cal,67.3 gr,24 gr,Green
275,159.96 gr,499 cal,1856.01 gr,16 gr,Grass Green
276,92.49000000000001 gr,248 cal,1343.5 gr,7 gr,Purple
277,49.80999999999999 gr,30 cal,278.53 gr,26 gr,Purple
278,119.23 gr,678 cal,1896.97 gr,40 gr,Grass Green
279,72.82 gr,138 cal,141.36 gr,37 gr,Navy Blue
280,98.25 gr,450 cal,1358.11 gr,38 gr,Sunset Yellow
281,135.93 gr,339 cal,830.86 gr,32 gr,Sunset Red
282,104.53 gr,384 cal,1963.38 gr,28 gr,Sunset Red
283,68.78 gr,131 cal,805.73 gr,30 gr,Sunset Yellow
284,15.86999999999999 gr,343 cal,1619.3 gr,21 gr,Lemon Yellow
285,163.78 gr,446 cal,885.99 gr,31 gr,Sunset Yellow
286,139.6 gr,637 cal,852.35 gr,21 gr,Rose
287,58.75000000000001 gr,65 cal,362.59 gr,16 gr,Grass Green
288,115.26000000000002 gr,263 cal,494.74 gr,25 gr,Coffee
289,41.31 gr,127 cal,1762.82 gr,5 gr,Rose
290,77.69 gr,580 cal,756.93 gr,46 gr,Sunset Yellow
291,144.96 gr,515 cal,1984.78 gr,27 gr,Black
292,129.35 gr,306 cal,160.18 gr,22 gr,Coffee
293,170.03 gr,658 cal,198.08 gr,29 gr,Grass Green
294,132.45 gr,626 cal,1753.74 gr,25 gr,Rose
295,88.79 gr,176 cal,1491.71 gr,25 gr,Sunset Yellow
296,142.24 gr,333 cal,88.99 gr,23 gr,Black
297,119.88 gr,205 cal,570.03 gr,26 gr,Grass Green
298,69.68999999999998 gr,263 cal,186.04 gr,14 gr,Green
299,35.00999999999999 gr,441 cal,629.03 gr,19 gr,Purple
300,144.75 gr,509 cal,1125.54 gr,44 gr,Black
301,38.040000000000006 gr,262 cal,1474.65 gr,30 gr,Sunset Red
302,114.10000000000001 gr,591 cal,90.43 gr,43 gr,Green
303,116.35999999999999 gr,666 cal,468.89 gr,33 gr,Rose
304,160.87 gr,560 cal,384.23 gr,36 gr,Navy Blue
305,9.75 gr,534 cal,249.98 gr,20 gr,Green
306,85.60999999999999 gr,207 cal,1265.69 gr,18 gr,Coffee
307,91.11 gr,401 cal,656.99 gr,45 gr,Navy Blue
308,87.30999999999999 gr,285 cal,410.97 gr,17 gr,Navy Blue
309,123.91 gr,401 cal,1714.36 gr,25 gr,Purple
310,137.0 gr,350 cal,1006.23 gr,38 gr,
311,111.96000000000001 gr,581 cal,1847.62 gr,25 gr,Purple
312,119.38999999999999 gr,747 cal,704.17 gr,27 gr,Green
313,110.53 gr,771 cal,1390.48 gr,37 gr,Black
314,93.7 gr,54 cal,347.98 gr,25 gr,Lemon Yellow
315,157.57999999999998 gr,386 cal,1485.36 gr,28 gr,Black
316,120.03999999999999 gr,621 cal,1948.76 gr,41 gr,Coffee
317,115.07000000000001 gr,712 cal,972.22 gr,40 gr,Rose
318,152.26 gr,625 cal,225.34 gr,34 gr,Sunset Yellow
319,86.39000000000001 gr,324 cal,929.47 gr,20 gr,Sunset Red
320,105.96000000000001 gr,416 cal,883.26 gr,36 gr,Grass Green
321,63.24 gr,607 cal,1406.11 gr,18 gr,Sunset Yellow
322,99.51999999999998 gr,374 cal,869.61 gr,22 gr,Coffee
323,55.27 gr,399 cal,1472.11 gr,14 gr,Rose
324,61.75 gr,466 cal,237.73 gr,19 gr,Navy Blue
325,121.16999999999999 gr,354 cal,1484.91 gr,21 gr,Green
326,149.86 gr,565 cal,390.58 gr,20 gr,Grass Green
327,86.38000000000001 gr,352 cal,145.91 gr,11 gr,Coffee
328,72.16000000000001 gr,70 cal,147.4 gr,32 gr,Black
329,93.47 gr,205 cal,1328.96 gr,20 gr,Coffee
330,47.540000000000006 gr,490 cal,369.51 gr,11 gr,Sunset Yellow
331,36.06999999999999 gr,49 cal,1540.02 gr,32 gr,Rose
332,107.42 gr,439 cal,1966.73 gr,41 gr,Navy Blue
333,118.33 gr,779 cal,820.15 gr,21 gr,Grass Green
334,119.57 gr,688 cal,1611.66 gr,40 gr,Navy Blue
335,94.27000000000001 gr,442 cal,1497.34 gr,32 gr,Rose
336,142.37 gr,556 cal,1916.74 gr,33 gr,Purple
337,102.96000000000001 gr,629 cal,336.1 gr,34 gr,Black
338,108.33999999999999 gr,597 cal,1733.12 gr,20 gr,Sunset Yellow
339,74.49000000000001 gr,81 cal,1957.34 gr,17 gr,Lemon Yellow
340,85.69 gr,150 cal,1739.37 gr,40 gr,Navy Blue
341,110.28 gr,458 cal,664.33 gr,23 gr,Grass Green
342,93.19999999999999 gr,495 cal,1962.89 gr,20 gr,Green
343,114.11999999999999 gr,130 cal,1940.5 gr,26 gr,Black
344,71.88 gr,538 cal,527.18 gr,11 gr,Black
345,44.239999999999995 gr,190 cal,849.69 gr,25 gr,Purple
346,68.95 gr,434 cal,563.21 gr,13 gr,Navy Blue
347,90.93 gr,575 cal,1867.21 gr,36 gr,Black
348,77.67 gr,506 cal,686.01 gr,,Coffee
349,65.94 gr,460 cal,953.84 gr,33 gr,Black
350,51.01000000000002 gr,456 cal,22.59 gr,26 gr,Rose
351,147.3 gr,619 cal,879.68 gr,25 gr,Navy Blue
352,116.22999999999999 gr,528 cal,199.34 gr,38 gr,Green
353,112.13 gr,415 cal,348.3 gr,19 gr,Green
354,88.29 gr,518 cal,257.42 gr,3 gr,Grass Green
355,131.16 gr,664 cal,509.1 gr,39 gr,Navy Blue
356,118.29 gr,586 cal,532.4 gr,31 gr,Rose
357,101.29 gr,533 cal,659.28 gr,34 gr,Sunset Red
358,94.39000000000001 gr,371 cal,1598.43 gr,22 gr,Purple
359,111.39000000000001 gr,197 cal,1117.85 gr,29 gr,Green
360,131.53 gr,759 cal,881.43 gr,18 gr,Sunset Yellow
361,148.35 gr,409 cal,1305.23 gr,37 gr,Coffee
362,150.65 gr,266 cal,1617.53 gr,23 gr,Navy Blue
363,129.08 gr,696 cal,736.3 gr,22 gr,Coffee
364,159.02 gr,551 cal,1059.58 gr,37 gr,Sunset Red
365,94.62 gr,414 cal,816.68 gr,38 gr,Sunset Red
366,74.25999999999999 gr,291 cal,1672.64 gr,18 gr,Lemon Yellow
367,34.150000000000006 gr,101 cal,181.71 gr,13 gr,Rose
368,134.25 gr,681 cal,1219.52 gr,28 gr,Purple
369,97.85 gr,564 cal,114.16 gr,41 gr,Lemon Yellow
370,98.67999999999998 gr,278 cal,350.1 gr,2 gr,Coffee
371,97.16000000000001 gr,494 cal,502.46 gr,25 gr,Sunset Red
372,100.0 gr,390 cal,1984.77 gr,26 gr,Sunset Red
373,138.8 gr,485 cal,973.03 gr,35 gr,Sunset Red
374,59.43000000000001 gr,128 cal,560.59 gr,14 gr,Coffee
375,117.49 gr,298 cal,1018.48 gr,16 gr,Coffee
376,47.650000000000006 gr,555 cal,597.84 gr,17 gr,Lemon Yellow
377,96.37 gr,71 cal,366.88 gr,19 gr,Sunset Red
378,78.62 gr,664 cal,197.81 gr,34 gr,Purple
379,107.31 gr,476 cal,232.02 gr,24 gr,
380,146.87 gr,694 cal,1265.69 gr,19 gr,Rose
381,165.24 gr,404 cal,393.01 gr,40 gr,Green
382,143.97 gr,473 cal,471.43 gr,41 gr,Sunset Red
383,81.72 gr,284 cal,334.45 gr,19 gr,Purple
384,141.84 gr,400 cal,924.92 gr,34 gr,Black
385,94.68 gr,388 cal,571.05 gr,12 gr,Lemon Yellow
386,137.29 gr,508 cal,379.08 gr,34 gr,Sunset Yellow
387,137.59 gr,215 cal,453.0 gr,13 gr,Grass Green
388,48.40999999999998 gr,92 cal,644.56 gr,27 gr,Lemon Yellow
389,145.84 gr,301 cal,18.09 gr,32 gr,Coffee
390,69.33 gr,508 cal,326.26 gr,26 gr,Lemon Yellow
391,148.99 gr,660 cal,482.85 gr,21 gr,Sunset Yellow
392,115.88999999999999 gr,238 cal,1849.4 gr,39 gr,Lemon Yellow
393,101.11999999999999 gr,664 cal,306.12 gr,36 gr,
394,133.73 gr,397 cal,439.8 gr,22 gr,Green
395,146.78 gr,265 cal,1564.71 gr,49 gr,Purple
396,111.5 gr,343 cal,61.01 gr,23 gr,Green
397,75.93 gr,25 cal,1263.87 gr,22 gr,Green
398,78.72 gr,335 cal,1218.19 gr,25 gr,Lemon Yellow
399,104.03 gr,533 cal,52.17 gr,35 gr,Rose
400,106.09 gr,274 cal,487.84 gr,10 gr,Grass Green
401,117.77000000000001 gr,436 cal,908.07 gr,28 gr,Black
402,59.949999999999996 gr,127 cal,328.65 gr,38 gr,Sunset Yellow
403,78.34 gr,460 cal,1969.46 gr,19 gr,Grass Green
404,63.07999999999999 gr,205 cal,323.0 gr,29 gr,Green
405,106.34 gr,197 cal,639.4 gr,36 gr,Purple
406,82.14999999999999 gr,196 cal,824.57 gr,14 gr,Grass Green
407,123.58000000000001 gr,75 cal,814.28 gr,30 gr,Purple
408,128.55 gr,500 cal,537.96 gr,29 gr,Sunset Yellow
409,19.879999999999995 gr,514 cal,1823.4 gr,18 gr,Sunset Red
410,84.63 gr,515 cal,1375.31 gr,37 gr,Black
411,40.230000000000004 gr,38 cal,1297.45 gr,26 gr,Lemon Yellow
412,42.42 gr,530 cal,75.87 gr,21 gr,Sunset Yellow
413,136.32 gr,614 cal,1740.71 gr,27 gr,Rose
414,128.01999999999998 gr,415 cal,227.83 gr,39 gr,Black
